das Laster,vice
im Leerlauf,idling
einträglich,lucrative
aufbrummen,to give punishment
die Gebühr,charge
die Strafe,penalty
melden,to report
die Quelle,source
die Einnahme,income
ausladen,to unload
einladen,to load
die Tarnung,disguise
der Anschein,appearance
das Klaphandy,flip phone
der Schriftzug,logo
das Geländer,railing
der Nachweis,evidence
nagelneu,brand new
die Belohnung,bounty
eifreig,eager
der Nebenverdienst,additional income
vetreten,to represent
stellvertretend,deputy
die eidesstattliche Erklärung,affidavit
verraten,to rat on someone
der Begriff,term
klar wie Kloßbrühe,crystal clear
